Sbj,Emo,Fctype,Grp,Emo2,Trial,Side,fixDur,fixNum,TotlDur,TotlNum,weight,fixDurPor,Famil
1,FEAR,Other,UK,FEAR,1,L,2.649,2,4.049,7,0.8098,0.654235613731786,famil
1,FEAR,Other,UK,HAPPY,1,R,0.917,3,4.049,7,0.8098,0.22647567300568,novel
1,FEAR,Other,UK,FEAR,2,R,2.715,5,4.197,8,0.8394,0.646890636168692,famil
1,FEAR,Other,UK,HAPPY,2,L,1.482,3,4.197,8,0.8394,0.353109363831308,novel
2,FEAR,Other,UK,FEAR,1,L,2.465,6,4.514,12,0.9028,0.546078865750997,famil
2,FEAR,Other,UK,HAPPY,1,R,2.049,6,4.514,12,0.9028,0.453921134249003,novel
2,FEAR,Other,UK,FEAR,2,R,2.797,5,4.029,6,0.8058,0.69421692727724,famil
2,FEAR,Other,UK,HAPPY,2,L,1.232,1,4.029,6,0.8058,0.30578307272276,novel
3,FEAR,Other,UK,FEAR,1,R,1.733,4,4.315,12,0.863,0.40162224797219,famil
3,FEAR,Other,UK,HAPPY,1,L,2.249,6,4.315,12,0.863,0.521205098493627,novel
3,FEAR,Other,UK,FEAR,2,L,1.882,4,3.814,6,0.7628,0.493445201887782,famil
3,FEAR,Other,UK,HAPPY,2,R,1.932,2,3.814,6,0.7628,0.506554798112218,novel
4,FEAR,Other,UK,FEAR,1,L,2.247,6,4.361,11,0.8722,0.515248796147673,famil
4,FEAR,Other,UK,HAPPY,1,R,2.114,5,4.361,11,0.8722,0.484751203852327,novel
4,FEAR,Other,UK,FEAR,2,R,2.598,6,4.264,11,0.8528,0.609287054409006,famil
4,FEAR,Other,UK,HAPPY,2,L,1.666,5,4.264,11,0.8528,0.390712945590994,novel
5,FEAR,Other,UK,FEAR,1,L,1.683,4,4.398,8,0.8796,0.382673942701228,famil
5,FEAR,Other,UK,HAPPY,1,R,2.215,3,4.398,8,0.8796,0.503638017280582,novel
5,FEAR,Other,UK,FEAR,2,R,2.916,6,4.448,11,0.8896,0.655575539568345,famil
5,FEAR,Other,UK,HAPPY,2,L,0.949,3,4.448,11,0.8896,0.213354316546763,novel
6,FEAR,Other,UK,FEAR,1,R,2.563,7,4.478,11,0.8956,0.572353729343457,famil
6,FEAR,Other,UK,HAPPY,1,L,1.915,4,4.478,11,0.8956,0.427646270656543,novel
6,FEAR,Other,UK,FEAR,2,L,1.565,3,2.614,6,0.5228,0.598699311400153,famil
6,FEAR,Other,UK,HAPPY,2,R,0.716,2,2.614,6,0.5228,0.273909716908952,novel
7,FEAR,Other,UK,FEAR,1,L,1.016,3,3.548,10,0.7096,0.286358511837655,famil
7,FEAR,Other,UK,HAPPY,1,R,2.132,6,3.548,10,0.7096,0.600901916572717,novel
7,FEAR,Other,UK,FEAR,2,R,2.565,7,3.614,10,0.7228,0.709739900387382,famil
7,FEAR,Other,UK,HAPPY,2,L,1.049,3,3.614,10,0.7228,0.290260099612618,novel
8,FEAR,Other,UK,FEAR,1,R,2.066,4,3.98,8,0.796,0.519095477386935,famil
8,FEAR,Other,UK,HAPPY,1,L,1.914,4,3.98,8,0.796,0.480904522613065,novel
8,FEAR,Other,UK,FEAR,2,L,2.565,6,4.114,9,0.8228,0.623480797277589,famil
8,FEAR,Other,UK,HAPPY,2,R,1.549,3,4.114,9,0.8228,0.376519202722411,novel
9,FEAR,Other,UK,FEAR,1,R,2.381,6,3.78,10,0.756,0.62989417989418,famil
9,FEAR,Other,UK,HAPPY,1,L,1.399,4,3.78,10,0.756,0.37010582010582,novel
9,FEAR,Other,UK,FEAR,2,L,2.016,4,3.549,9,0.7098,0.568047337278106,famil
9,FEAR,Other,UK,HAPPY,2,R,1.233,3,3.549,9,0.7098,0.34742180896027,novel
10,FEAR,Other,UK,FEAR,1,R,2.065,4,4.082,9,0.8164,0.505879470847624,famil
10,FEAR,Other,UK,HAPPY,1,L,2.017,5,4.082,9,0.8164,0.494120529152376,novel
10,FEAR,Other,UK,FEAR,2,L,2.631,4,4.329,7,0.8658,0.607761607761608,famil
10,FEAR,Other,UK,HAPPY,2,R,1.698,3,4.329,7,0.8658,0.392238392238392,novel
11,FEAR,Other,UK,FEAR,1,R,1.332,3,4.08,11,0.816,0.326470588235294,famil
11,FEAR,Other,UK,HAPPY,1,L,2.748,8,4.08,11,0.816,0.673529411764706,novel
11,FEAR,Other,UK,FEAR,2,L,1.416,3,4.248,10,0.8496,0.333333333333333,famil
11,FEAR,Other,UK,HAPPY,2,R,2.832,7,4.248,10,0.8496,0.666666666666667,novel
12,FEAR,Other,UK,FEAR,1,R,2.764,4,4.313,6,0.8626,0.640853234407605,famil
12,FEAR,Other,UK,HAPPY,1,L,1.549,2,4.313,6,0.8626,0.359146765592395,novel
12,FEAR,Other,UK,FEAR,2,L,1.783,4,4.514,8,0.9028,0.394993354009747,famil
12,FEAR,Other,UK,HAPPY,2,R,2.731,4,4.514,8,0.9028,0.605006645990253,novel
13,FEAR,Other,UK,FEAR,1,R,1.981,5,4.212,12,0.8424,0.470322886989554,famil
13,FEAR,Other,UK,HAPPY,1,L,2.231,7,4.212,12,0.8424,0.529677113010446,novel
13,FEAR,Other,UK,FEAR,2,L,2.547,6,3.564,10,0.7128,0.714646464646465,famil
13,FEAR,Other,UK,HAPPY,2,R,0.767,3,3.564,10,0.7128,0.215207631874299,novel
